gene	observed CpG	expected CpG	CpG bias
g10682	199	219.11	0.9082
g10683	74	96.14	0.7697
g10684	79	122.22	0.6464
g10685	15	19.25	0.7792
g10686	50	67.89	0.7365
g10687	253	320.33	0.7898
g10688	159	184.31	0.8627
g10689	70	76.67	0.913
g10690	29	72.43	0.4004
g10691	6	18.29	0.328
g10692	10	28.45	0.3515
g10693	15	42.48	0.3531
g10694	120	91.44	1.3123
g10695	167	135.85	1.2293
g10696	31	44.43	0.6977
g10697	115	109.69	1.0484
g10698	212	223.86	0.947
g10699	322	346.69	0.9288
g10700	145	163.23	0.8883
g10701	35	33.57	1.0426
g10702	191	436.17	0.4379
g10703	19	24.83	0.7652
g10704	12	16.85	0.7122
g10705	6	35.66	0.1683
g10706	3	14.92	0.2011
g10707	336	336.64	0.9981
g10708	158	155.79	1.0142
g10709	133	265.31	0.5013
g10710	33	98.17	0.3362
g10711	19	48.68	0.3903
g10712	65	185.0	0.3514
g10713	156	209.11	0.746
g10714	139	170.23	0.8165
g10715	377	553.63	0.681
g10716	205	447.07	0.4585
g10717	122	134.11	0.9097
g10718	65	127.54	0.5096
g10719	135	206.3	0.6544
g10720	198	341.96	0.579
g10721	33	36.96	0.8929
g10722	155	175.72	0.8821
g10723	123	204.13	0.6026
g10724	22	42.69	0.5153
g10725	161	190.66	0.8444
g10726	106	131.61	0.8054
g10727	14	21.26	0.6585
g10728	556	780.54	0.7123
g10729	1214	1599.26	0.7591
g10730	37	36.68	1.0087
g10731	9	16.64	0.5409
g10732	266	389.54	0.6829
g10733	13	18.49	0.7031
g10734	37	48.86	0.7573
g10735	32	104.03	0.3076
g10736	106	138.65	0.7645
g10737	190	296.06	0.6418
g10738	33	64.64	0.5105
g10739	272	295.6	0.9202
g10740	47	106.49	0.4414
g10741	29	101.87	0.2847
g10742	4	44.73	0.0894
g10743	712	847.57	0.84
g10744	9	16.34	0.5508
g10745	53	62.99	0.8414
g10746	129	285.49	0.4519
g10747	4	14.64	0.2732
g10748	43	58.8	0.7313
g10749	62	72.01	0.861
g10750	278	310.12	0.8964
g10751	44	54.66	0.805
g10752	43	63.61	0.676
g10753	303	359.9	0.8419
g10754	33	36.6	0.9016
g10755	97	148.77	0.652
g10756	266	329.23	0.8079
g10757	108	168.55	0.6408
g10758	258	282.73	0.9125
g10759	42	38.41	1.0935
g10760	77	91.72	0.8395
g10761	97	202.68	0.4786
g10762	32	49.5	0.6465
g10763	17	18.68	0.9101
g10764	443	494.85	0.8952
g10765	56	69.98	0.8002
g10766	59	80.6	0.732
g10767	67	135.18	0.4956
g10768	19	25.79	0.7367
g10769	696	864.44	0.8051
g10770	419	639.85	0.6548
g10771	57	206.35	0.2762
g10772	117	204.11	0.5732
g10773	31	34.36	0.9022
g10774	43	58.03	0.741
g10775	8	27.07	0.2955
g10776	54	78.9	0.6844
g10777	15	19.1	0.7853
g10778	18	37.51	0.4799
g10779	40	48.74	0.8207
g10780	50	62.53	0.7996
g10781	29	28.66	1.0119
g10782	313	382.77	0.8177
g10783	91	82.38	1.1046
g10784	165	174.62	0.9449
g10785	800	907.27	0.8818
g10786	88	72.93	1.2066
g10787	30	40.96	0.7324
g10788	31	51.52	0.6017
g10789	56	163.08	0.3434
g10790	227	293.56	0.7733
g10791	320	413.26	0.7743
g10792	143	179.4	0.7971
g10793	18	59.27	0.3037
g10794	22	30.62	0.7185
g10795	90	297.43	0.3026
g10796	36	41.43	0.8689
g10797	128	302.75	0.4228
g10798	609	675.19	0.902
g10799	137	198.41	0.6905
g10800	30	40.85	0.7344
g10801	126	149.88	0.8407
g10802	303	495.44	0.6116
g10803	36	28.19	1.277
g10804	492	748.52	0.6573
g10805	276	643.12	0.4292
g10806	315	391.21	0.8052
g10807	36	84.75	0.4248
g10808	42	53.29	0.7881
g10809	576	673.68	0.855
g10810	793	737.46	1.0753
g10811	105	120.98	0.8679
g10812	132	132.28	0.9979
g10813	85	92.6	0.9179
g10814	407	429.91	0.9467
g10815	607	743.57	0.8163
g10816	68	214.94	0.3164
g10817	223	199.73	1.1165
g10818	500	565.09	0.8848
g10819	32	35.83	0.8931
g10820	10	14.96	0.6684
g10821	98	133.63	0.7334
tRNA-Leu233_gene	6	6.49	0.9245
g10822	199	329.08	0.6047
g10823	81	168.81	0.4798
g10824	241	286.36	0.8416
g10825	63	80.49	0.7827
g10826	342	505.71	0.6763
g10827	49	94.16	0.5204
g10828	7	19.21	0.3644
g10829	224	204.9	1.0932
g10830	383	996.31	0.3844
g10831	9	13.62	0.6608
g10832	14	27.03	0.5179
g10833	9	22.54	0.3993
g10834	438	528.7	0.8284
g10835	13	15.76	0.8249
g10836	53	65.49	0.8093
g10837	71	177.13	0.4008
g10838	152	168.93	0.8998
g10839	62	67.33	0.9208
g10840	53	53.89	0.9835
g10841	250	279.6	0.8941
g10842	95	94.53	1.005
tRNA-Val240_gene	5	4.42	1.1312
tRNA-Glu239_gene	7	7.67	0.9126
tRNA-Val238_gene	6	5.48	1.0949
tRNA-Glu237_gene	7	7.0	1.0
tRNA-Val236_gene	5	4.44	1.1261
tRNA-Glu235_gene	7	7.33	0.955
tRNA-Glu234_gene	7	7.33	0.955
g10843	3	19.17	0.1565
g10844	8	31.2	0.2564
g10845	34	32.17	1.0569
g10846	160	315.74	0.5067
g10847	31	78.48	0.395
g10848	37	178.86	0.2069
g10849	353	495.16	0.7129
g10850	33	95.68	0.3449
g10851	73	232.29	0.3143
g10852	115	194.89	0.5901
g10853	351	322.57	1.0881
g10854	49	116.82	0.4194
g10855	113	140.71	0.8031
g10856	59	176.66	0.334
g10857	126	185.74	0.6784
g10858	20	29.14	0.6863
g10859	186	328.39	0.5664
g10860	60	93.2	0.6438
g10861	114	133.8	0.852
g10862	308	364.24	0.8456
g10863	230	273.53	0.8409
g10864	82	121.27	0.6762
g10865	37	37.17	0.9954
g10866	31	26.62	1.1645
g10867	18	19.17	0.939
g10868	73	91.9	0.7943
g10869	244	341.9	0.7137
g10870	313	329.06	0.9512
g10871	150	161.2	0.9305
g10872	21	34.16	0.6148
g10873	15	47.46	0.3161
g10874	290	296.96	0.9766
g10875	45	49.3	0.9128
g10876	181	322.42	0.5614
g10877	175	173.79	1.007
g10878	56	60.9	0.9195
g10879	25	27.52	0.9084
g10880	377	833.93	0.4521
g10881	58	74.2	0.7817
g10882	465	607.11	0.7659
g10883	22	38.83	0.5666
g10884	247	299.59	0.8245
g10885	393	335.83	1.1702
g10886	51	49.73	1.0255
g10887	62	65.74	0.9431
g10888	72	60.22	1.1956
g10889	51	53.93	0.9457
g10890	45	49.55	0.9082
g10891	48	75.83	0.633
g10892	201	322.71	0.6229
g10893	38	69.96	0.5432
g10894	30	153.86	0.195
g10895	924	1002.51	0.9217
g10896	31	36.27	0.8547
g10897	230	593.63	0.3874
g10898	209	297.62	0.7022
g10899	68	191.1	0.3558
g10900	56	91.31	0.6133
g10901	566	541.49	1.0453
g10902	147	137.92	1.0658
g10903	170	229.37	0.7412
g10904	122	201.67	0.6049
g10905	153	141.09	1.0844
g10906	64	86.93	0.7362
g10907	392	441.74	0.8874
g10908	271	448.22	0.6046
g10909	23	71.55	0.3215
g10910	31	34.99	0.886
g10911	78	82.73	0.9428
g10912	122	197.87	0.6166
g10913	60	119.74	0.5011
g10914	42	122.78	0.3421
g10915	23	40.72	0.5648
g10916	314	373.74	0.8402
g10917	187	380.66	0.4913
g10918	27	58.33	0.4629
g10919	56	43.24	1.2951
g10920	339	634.11	0.5346
g10921	370	567.57	0.6519
g10922	5	28.12	0.1778
g10923	47	106.37	0.4419
g10924	8	17.57	0.4553
g10925	239	205.31	1.1641
g10926	550	767.14	0.7169
g10927	0	17.24	0.0
g10928	34	52.13	0.6522
g10929	85	143.87	0.5908
g10930	260	675.79	0.3847
g10931	190	212.8	0.8929
g10932	140	252.02	0.5555
g10933	224	425.23	0.5268
g10934	16	30.69	0.5213
g10935	27	26.02	1.0377
g10936	10	22.69	0.4407
g10937	55	114.7	0.4795
g10938	31	50.56	0.6131
g10939	55	138.51	0.3971
g10940	71	91.71	0.7742
g10941	231	596.49	0.3873
g10942	116	150.56	0.7705
g10943	362	436.0	0.8303
g10944	98	101.82	0.9625
g10945	102	139.87	0.7292
tRNA-Gln241_gene	2	4.0	0.5
g10946	147	213.64	0.6881
g10947	68	111.39	0.6105
g10948	29	47.4	0.6118
g10949	484	563.54	0.8589
g10950	287	322.47	0.89
g10951	92	146.12	0.6296
g10952	146	177.53	0.8224
g10953	456	574.42	0.7938
g10954	230	304.55	0.7552
g10955	45	132.2	0.3404
g10956	156	232.66	0.6705
g10957	33	69.36	0.4758
g10958	59	152.36	0.3872
g10959	241	229.49	1.0502
g10960	444	434.83	1.0211
g10961	59	83.61	0.7057
g10962	20	31.13	0.6425
g10963	989	1182.85	0.8361
g10964	58	61.74	0.9394
g10965	124	96.66	1.2828
g10966	218	351.46	0.6203
g10967	17	23.83	0.7134
g10968	17	33.14	0.513
g10969	151	213.33	0.7078
g10970	45	45.42	0.9908
g10971	50	52.95	0.9443
g10972	85	166.31	0.5111
g10973	46	141.52	0.325
g10974	76	147.14	0.5165
g10975	239	553.89	0.4315
g10976	182	190.55	0.9551
g10977	617	1044.16	0.5909
g10978	231	352.15	0.656
g10979	20	27.91	0.7166
g10980	51	56.33	0.9054
g10981	77	84.12	0.9154
g10982	15	19.01	0.7891
g10983	31	31.71	0.9776
g10984	176	353.38	0.498
g10985	285	417.84	0.6821
g10986	130	269.99	0.4815
g10987	36	40.36	0.892
g10988	249	290.16	0.8581
g10989	42	83.22	0.5047
g10990	219	250.58	0.874
g10991	32	50.54	0.6332
g10992	198	315.82	0.6269
g10993	26	32.7	0.7951
g10994	127	334.79	0.3793
g10995	104	115.93	0.8971
g10996	519	663.53	0.7822
g10997	169	225.28	0.7502
g10998	73	77.25	0.945
g10999	100	136.76	0.7312
g11000	187	225.34	0.8299
g11001	74	71.61	1.0334
g11002	25	48.59	0.5145
g11003	8	35.54	0.2251
g11004	448	471.85	0.9495
g11005	35	38.79	0.9023
g11006	163	181.96	0.8958
g11007	15	18.29	0.8201
g11008	77	77.41	0.9947
g11009	51	47.59	1.0717
g11010	385	432.74	0.8897
g11011	127	213.09	0.596
g11012	408	429.99	0.9489
g11013	105	233.78	0.4491
g11014	849	1060.38	0.8007
g11015	9	21.67	0.4153
g11016	9	13.64	0.6598
g11017	17	24.1	0.7054
g11018	4	14.3	0.2797
g11019	10	19.27	0.5189
g11020	171	170.42	1.0034
g11021	42	37.0	1.1351
g11022	39	43.29	0.9009
g11023	245	279.01	0.8781
g11024	313	360.17	0.869
g11025	228	597.39	0.3817
g11026	156	303.4	0.5142
g11027	22	29.89	0.736
g11028	518	813.76	0.6366
g11029	195	218.45	0.8927
g11030	50	75.06	0.6661
g11031	44	57.87	0.7603
g11032	121	262.87	0.4603
g11033	67	70.32	0.9528
g11034	34	50.58	0.6722
g11035	200	228.49	0.8753
g11036	50	90.87	0.5502
g11037	46	114.43	0.402
g11038	88	196.94	0.4468
g11039	130	189.73	0.6852
g11040	11	18.15	0.6061
g11041	463	604.48	0.7659
tRNA-Val247_gene	6	5.48	1.0949
tRNA-Glu246_gene	7	7.0	1.0
tRNA-Val245_gene	5	4.68	1.0684
tRNA-Glu244_gene	7	7.29	0.9602
g11042	53	187.39	0.2828
g11043	112	134.99	0.8297
g11044	27	31.88	0.8469
g11045	53	50.6	1.0474
g11046	169	172.85	0.9777
g11047	221	222.78	0.992
g11048	43	136.03	0.3161
g11049	295	277.5	1.0631
tRNA-Cys243_gene	4	6.33	0.6319
tRNA-Gly242_gene	6	6.76	0.8876
g11050	97	182.1	0.5327
g11051	57	55.14	1.0337
g11052	75	224.01	0.3348
g11053	147	424.34	0.3464
g11054	45	64.0	0.7031
g11055	460	703.97	0.6534
g11056	28	30.63	0.9141
g11057	3	7.24	0.4144
g11058	20	33.01	0.6059
g11059	218	576.54	0.3781
g11060	125	247.31	0.5054
g11061	28	34.99	0.8002
g11062	71	81.16	0.8748
g11063	146	138.56	1.0537
g11064	32	45.83	0.6982
g11065	15	23.46	0.6394
g11066	8	10.91	0.7333
g11067	27	33.81	0.7986
g11068	24	49.29	0.4869
g11069	88	120.76	0.7287
g11070	69	85.04	0.8114
g11071	356	593.01	0.6003
g11072	37	39.41	0.9388
g11073	38	34.74	1.0938
g11074	53	48.9	1.0838
g11075	123	251.29	0.4895
g11076	148	257.59	0.5746
g11077	81	241.57	0.3353
g11078	59	79.47	0.7424
g11079	61	62.21	0.9805
g11080	29	32.25	0.8992
g11081	41	55.97	0.7325
g11082	77	141.76	0.5432
g11083	239	363.05	0.6583
g11084	40	42.53	0.9405
g11085	37	44.63	0.829
g11086	19	22.29	0.8524
g11087	9	39.95	0.2253
g11088	362	530.99	0.6817
g11089	43	39.37	1.0922
g11090	443	548.73	0.8073
g11091	30	80.31	0.3736
g11092	71	71.6	0.9916
g11093	127	142.49	0.8913
g11094	62	184.22	0.3366
g11095	15	73.59	0.2038
g11096	133	153.26	0.8678
g11097	141	240.32	0.5867
g11098	37	86.71	0.4267
g11099	4	22.54	0.1775
g11100	299	404.3	0.7395
g11101	113	149.52	0.7558
g11102	116	135.07	0.8588
g11103	45	48.04	0.9367
g11104	4	10.54	0.3795
g11105	10	33.83	0.2956
g11106	24	27.87	0.8611
g11107	14	12.22	1.1457
g11108	100	92.11	1.0857
g11109	240	504.82	0.4754
g11110	55	76.07	0.723
g11111	62	158.43	0.3913
g11112	473	541.43	0.8736
g11113	1383	1601.69	0.8635
g11114	106	122.54	0.865
g11115	380	471.19	0.8065
g11116	10	25.97	0.3851
g11117	19	29.78	0.638
g11118	69	135.22	0.5103
g11119	26	31.51	0.8251
g11120	94	116.61	0.8061
g11121	336	659.77	0.5093
g11122	31	35.4	0.8757
g11123	32	32.69	0.9789
g11124	448	448.99	0.9978
g11125	328	487.73	0.6725
g11126	27	41.58	0.6494
g11127	347	384.48	0.9025
g11128	100	119.78	0.8349
g11129	13	13.0	1.0
g11130	172	229.55	0.7493
g11131	209	239.77	0.8717
g11132	135	143.3	0.9421
g11133	59	60.07	0.9822
g11134	143	170.75	0.8375
g11135	76	163.74	0.4642
g11136	67	70.29	0.9532
g11137	22	36.5	0.6027
g11138	51	85.84	0.5941
g11139	31	41.66	0.7441
g11140	35	56.07	0.6242
g11141	18	87.19	0.2064
g11142	274	318.98	0.859
g11143	155	156.1	0.993
g11144	818	932.24	0.8775
g11145	78	116.72	0.6683
g11146	65	158.39	0.4104
g11147	41	104.92	0.3908
g11148	31	72.15	0.4297
g11149	238	484.8	0.4909
g11150	133	140.99	0.9433
g11151	194	222.47	0.872
g11152	78	197.89	0.3942
g11153	53	71.48	0.7415
g11154	324	414.18	0.7823
g11155	227	273.9	0.8288
g11156	42	45.27	0.9278
g11157	104	115.94	0.897
g11158	133	152.24	0.8736
g11159	193	228.59	0.8443
g11160	34	42.21	0.8055
g11161	28	65.63	0.4266
g11162	108	122.31	0.883
g11163	362	591.24	0.6123
g11164	263	287.94	0.9134
g11165	378	406.56	0.9298
g11166	393	393.64	0.9984
g11167	83	148.84	0.5576
g11168	114	118.83	0.9594
g11169	218	257.83	0.8455
g11170	146	160.09	0.912
g11171	74	169.25	0.4372
g11172	166	308.9	0.5374
g11173	15	21.9	0.6849
g11174	30	56.74	0.5287
g11175	180	235.36	0.7648
g11176	10	13.07	0.7651
g11177	42	42.43	0.9899
g11178	34	39.75	0.8553
g11179	26	47.88	0.543
g11180	77	161.61	0.4765
g11181	163	171.07	0.9528
g11182	106	120.55	0.8793
g11183	191	216.63	0.8817
g11184	78	249.33	0.3128
g11185	38	37.97	1.0008
g11186	136	139.52	0.9748
g11187	72	72.07	0.999
g11188	61	58.14	1.0492
g11189	121	144.12	0.8396
g11190	151	175.63	0.8598
g11191	171	180.78	0.9459
g11192	253	268.49	0.9423
g11193	113	122.74	0.9206
g11194	349	413.57	0.8439
g11195	181	224.06	0.8078
g11196	187	240.31	0.7782
g11197	305	344.41	0.8856
g11198	360	355.56	1.0125
g11199	65	147.4	0.441
g11200	476	609.93	0.7804
g11201	40	51.81	0.7721
g11202	51	52.98	0.9626
g11203	81	97.04	0.8347
g11204	278	304.38	0.9133
g11205	16	18.33	0.8729
g11206	56	46.57	1.2025
g11207	189	198.25	0.9533
g11208	123	140.3	0.8767
g11209	219	399.15	0.5487
g11210	126	123.08	1.0237
g11211	302	304.41	0.9921
g11212	161	182.0	0.8846
g11213	67	136.78	0.4898
g11214	231	233.46	0.9895
g11215	93	115.22	0.8072
g11216	133	141.05	0.9429
g11217	163	151.86	1.0734
g11218	200	214.75	0.9313
g11219	188	288.99	0.6505
tRNA-Cys249_gene	4	5.67	0.7055
tRNA-Gly248_gene	6	6.48	0.9259
g11220	383	403.47	0.9493
g11221	28	146.07	0.1917
g11222	28	56.18	0.4984
g11223	7	10.88	0.6434
g11224	47	74.1	0.6343
g11225	56	77.19	0.7255
g11226	63	187.0	0.3369
g11227	349	425.08	0.821
g11228	41	57.09	0.7182
g11229	341	531.46	0.6416
g11230	91	149.18	0.61
g11231	88	308.36	0.2854
g11232	378	921.12	0.4104
g11233	71	90.17	0.7874
g11234	357	311.6	1.1457
g11235	66	85.21	0.7746
g11236	520	542.61	0.9583
g11237	169	178.68	0.9458
g11238	237	421.63	0.5621
g11239	19	17.2	1.1047
g11240	49	48.14	1.0179
g11241	30	30.97	0.9687
g11242	10	19.16	0.5219
g11243	175	190.55	0.9184
g11244	34	38.5	0.8831
g11245	237	274.97	0.8619
g11246	50	61.37	0.8147
g11247	37	43.16	0.8573
g11248	225	519.8	0.4329
g11249	48	69.28	0.6928
g11250	7	16.17	0.4329
g11251	62	72.93	0.8501
g11252	215	244.57	0.8791
g11253	63	72.87	0.8646
g11254	29	42.89	0.6761
g11255	232	274.61	0.8448
g11256	41	70.83	0.5789
g11257	6	17.28	0.3472
g11258	74	78.81	0.939
g11259	30	14.74	2.0353
g11260	158	209.84	0.753
g11261	80	118.45	0.6754
g11262	28	31.82	0.8799
g11263	9	45.86	0.1962
g11264	12	58.88	0.2038
g11265	7	33.95	0.2062
g11266	31	38.6	0.8031
g11267	26	40.13	0.6479
g11268	16	50.87	0.3145
g11269	91	229.83	0.3959
g11270	52	130.09	0.3997
g11271	9	21.9	0.411
g11272	8	15.92	0.5025
g11273	51	62.0	0.8226
g11274	95	123.8	0.7674
g11275	49	46.7	1.0493
g11276	47	44.81	1.0489
g11277	258	312.28	0.8262
g11278	285	491.24	0.5802
g11279	6	40.6	0.1478
g11280	164	180.71	0.9075
g11281	69	163.03	0.4232
g11282	44	37.47	1.1743
g11283	61	49.63	1.2291
g11284	58	172.81	0.3356
g11285	130	412.32	0.3153
g11286	53	190.38	0.2784
g11287	79	163.42	0.4834
g11288	280	556.17	0.5034
g11289	100	131.76	0.759
g11290	138	173.74	0.7943
g11291	693	878.86	0.7885
g11292	70	142.96	0.4896
g11293	77	225.36	0.3417
g11294	46	42.47	1.0831
g11295	349	580.96	0.6007
g11296	141	234.5	0.6013
g11297	168	342.34	0.4907
g11298	56	157.78	0.3549
g11299	11	30.11	0.3653
g11300	95	202.35	0.4695
g11301	37	46.88	0.7892
g11302	280	332.17	0.8429
g11303	51	50.44	1.0111
g11304	57	103.94	0.5484
g11305	34	68.86	0.4938
g11306	103	93.69	1.0994
g11307	233	260.8	0.8934
g11308	58	60.09	0.9652
g11309	63	68.91	0.9142
g11310	34	39.62	0.8582
g11312	23	57.36	0.401
g11313	63	117.36	0.5368
g11314	147	236.06	0.6227
g11315	47	93.69	0.5017
g11316	39	113.68	0.3431
g11317	17	94.98	0.179
g11318	66	227.64	0.2899
g11319	45	114.32	0.3936
g11320	37	71.97	0.5141
g11321	48	61.76	0.7772
g11322	143	270.25	0.5291
g11323	48	54.93	0.8738
g11324	69	154.34	0.4471
g11325	52	113.18	0.4594
g11326	48	126.15	0.3805
g11327	71	146.28	0.4854
g11328	888	926.14	0.9588
g11329	166	318.39	0.5214
g11330	30	31.37	0.9563
g11331	36	35.12	1.0251
g11332	33	96.7	0.3413
g11333	56	94.6	0.592
g11334	14	13.05	1.0728
g11335	73	160.13	0.4559
g11336	512	807.43	0.6341
g11337	75	79.24	0.9465
g11338	6	27.25	0.2202
g11339	9	49.76	0.1809
g11340	82	197.28	0.4157
g11341	164	161.71	1.0142
g11342	186	177.13	1.0501
g11343	474	590.12	0.8032
g11344	424	671.25	0.6317
g11345	97	132.25	0.7335
g11346	46	39.94	1.1517
g11347	14	17.44	0.8028
g11348	57	154.74	0.3684
g11349	136	305.62	0.445
g11350	211	449.87	0.469
g11351	409	592.78	0.69
g11352	81	199.74	0.4055
g11353	46	134.35	0.3424
g11354	100	93.94	1.0645
g11355	29	26.86	1.0797
g11356	158	163.22	0.968
g11357	31	28.5	1.0877
g11358	18	75.94	0.237
g11359	10	12.99	0.7698
g11360	23	22.01	1.045
g11361	7	25.22	0.2776
g11362	7	29.05	0.241
g11363	46	108.0	0.4259
g11364	80	111.75	0.7159
g11365	573	687.47	0.8335
g11366	786	986.82	0.7965
g11367	341	587.38	0.5805
g11368	253	253.81	0.9968
g11369	52	69.62	0.7469
g11370	54	46.71	1.1561
g11371	145	224.16	0.6469
g11372	88	108.54	0.8108
g11373	132	219.13	0.6024
g11374	39	40.6	0.9606
g11375	57	77.81	0.7326
g11376	18	29.74	0.6052
g11377	630	639.05	0.9858
g11378	642	719.34	0.8925
g11379	485	501.32	0.9674
g11380	366	485.14	0.7544
g11381	16	49.83	0.3211
g11382	15	51.56	0.2909
g11383	35	46.74	0.7488
g11384	107	126.66	0.8448
g11385	48	66.19	0.7252
g11386	14	12.0	1.1667
g11387	13	37.07	0.3507
g11388	233	254.44	0.9157
g11389	44	55.56	0.7919
g11390	35	41.85	0.8363
g11391	15	16.84	0.8907
g11392	8	12.89	0.6206
g11393	11	23.79	0.4624
g11394	50	101.13	0.4944
g11395	114	118.24	0.9641
g11396	30	41.02	0.7314
g11397	30	38.11	0.7872
g11398	99	289.41	0.3421
g11399	41	52.44	0.7818
g11400	79	241.66	0.3269
g11401	42	51.26	0.8194
g11402	17	22.94	0.7411
g11403	20	26.87	0.7443
g11404	181	255.22	0.7092
g11405	47	72.7	0.6465
g11406	38	107.06	0.3549
g11407	422	428.81	0.9841
g11408	331	406.17	0.8149
g11409	174	232.74	0.7476
g11410	243	270.35	0.8988
g11411	8	23.86	0.3353
g11412	44	39.46	1.1151
g11413	23	39.22	0.5864
g11414	20	27.38	0.7305
g11415	43	115.38	0.3727
g11416	30	42.4	0.7075
g11417	30	34.38	0.8726
g11418	539	601.18	0.8966
g11419	97	205.6	0.4718
g11420	21	44.17	0.4754
g11421	12	33.6	0.3571
g11422	45	84.47	0.5327
g11423	33	71.78	0.4597
g11424	16	38.59	0.4146
g11425	95	125.51	0.7569
g11426	14	17.55	0.7977
g11427	96	142.08	0.6757
g11428	10	26.17	0.3821
g11429	388	412.04	0.9417
g11430	518	528.03	0.981
g11431	435	425.69	1.0219
g11432	80	125.65	0.6367
g11433	38	63.04	0.6028
g11434	248	302.54	0.8197
g11435	57	64.94	0.8777
g11436	10	47.5	0.2105
g11437	305	344.12	0.8863
g11438	66	73.03	0.9037
g11439	31	47.59	0.6514
g11440	70	157.12	0.4455
g11441	10	18.95	0.5277
g11442	35	56.66	0.6177
g11443	64	93.35	0.6856
g11444	57	62.57	0.911
g11445	26	29.41	0.8841
g11446	346	483.24	0.716
g11447	41	50.64	0.8096
g11448	124	145.83	0.8503
g11449	128	141.25	0.9062
g11450	1	8.96	0.1116
g11451	22	41.71	0.5275
g11452	20	27.02	0.7402
g11453	55	41.93	1.3117
g11454	52	52.93	0.9824
g11455	122	112.12	1.0881
g11456	76	207.96	0.3655
g11457	269	280.09	0.9604
g11458	429	587.14	0.7307
g11459	35	83.26	0.4204
g11460	39	42.13	0.9257
g11461	21	75.49	0.2782
g11462	196	316.12	0.62
g11463	99	127.98	0.7736
g11464	40	42.78	0.935
g11465	235	261.01	0.9003
g11466	736	990.12	0.7433
g11467	150	216.1	0.6941
g11468	440	437.49	1.0057
g11469	48	47.95	1.001
g11470	42	43.84	0.958
g11471	335	356.56	0.9395
g11472	98	288.34	0.3399
g11473	28	47.87	0.5849
g11474	30	94.65	0.317
g11475	61	215.46	0.2831
g11476	27	34.53	0.7819
g11477	170	220.87	0.7697
g11478	107	269.13	0.3976
g11479	27	41.9	0.6444
g11480	43	113.88	0.3776
g11481	44	69.89	0.6296
g11482	55	66.25	0.8302
g11483	156	222.46	0.7012
g11484	5	15.78	0.3169
g11485	54	98.98	0.5456
g11486	63	193.9	0.3249
g11487	263	443.78	0.5926
g11488	122	129.37	0.943
g11489	585	634.26	0.9223
g11490	181	175.04	1.034
g11491	82	199.91	0.4102
g11492	267	310.33	0.8604
g11493	29	23.3	1.2446
g11494	39	102.42	0.3808
g11495	29	70.95	0.4087
g11496	54	114.04	0.4735
g11497	18	22.64	0.7951
g11498	103	213.83	0.4817
g11499	70	204.07	0.343
g11500	23	18.81	1.2228
g11501	149	312.56	0.4767
g11502	15	41.9	0.358
g11503	113	140.19	0.806
g11504	151	159.32	0.9478
g11505	191	193.19	0.9887
g11506	14	75.23	0.1861
g11507	151	170.4	0.8862
g11508	48	121.74	0.3943
g11509	9	23.15	0.3888
g11510	50	101.42	0.493
g11511	301	695.17	0.433
g11512	213	243.92	0.8732
g11513	507	576.12	0.88
g11514	158	185.32	0.8526
g11515	37	78.99	0.4684
g11516	27	35.07	0.7699
g11517	42	60.06	0.6993
g11518	87	152.76	0.5695
g11519	107	131.89	0.8113
g11520	537	534.38	1.0049
g11521	177	216.08	0.8191
g11522	36	48.89	0.7363
g11523	104	176.69	0.5886
g11524	18	25.84	0.6966
g11525	19	20.94	0.9074
g11526	396	405.72	0.976
tRNA-Asp250_gene	7	7.33	0.955
tRNA-Ile251_gene	4	5.36	0.7463
g11527	319	359.48	0.8874
g11528	42	62.88	0.6679
g11529	12	16.45	0.7295
g11530	26	54.46	0.4774
g11531	9	13.78	0.6531
g11532	42	77.85	0.5395
g11533	39	98.44	0.3962
g11534	74	97.92	0.7557
g11535	321	490.82	0.654
g11536	297	554.22	0.5359
g11537	153	216.2	0.7077
g11538	578	711.56	0.8123
g11539	72	89.0	0.809
g11540	142	146.42	0.9698
g11541	363	443.96	0.8176
g11542	117	246.56	0.4745
g11543	175	275.01	0.6363
g11544	119	289.5	0.4111
g11545	28	77.79	0.3599
g11546	147	201.11	0.7309
g11547	375	331.77	1.1303
g11548	120	203.56	0.5895
g11549	45	104.11	0.4322
g11550	40	55.05	0.7266
g11551	26	42.13	0.6171
g11552	206	252.08	0.8172
g11553	56	48.44	1.1561
g11554	260	726.29	0.358
g11555	81	84.96	0.9534
g11556	136	137.32	0.9904
g11557	149	200.7	0.7424
g11558	204	443.2	0.4603
g11559	104	120.11	0.8659
g11560	268	310.94	0.8619
g11561	79	89.21	0.8856
g11562	35	93.44	0.3746
g11563	78	78.23	0.9971
g11564	5	19.3	0.2591
g11565	8	31.2	0.2564
g11566	3	11.91	0.2519
g11567	175	301.58	0.5803
g11568	7	14.01	0.4996
g11569	51	51.38	0.9926
g11570	242	281.37	0.8601
g11571	399	462.47	0.8628
g11572	181	226.13	0.8004
g11573	34	29.25	1.1624
g11574	53	136.82	0.3874
g11575	193	368.66	0.5235
g11576	32	105.68	0.3028
g11577	1135	1175.71	0.9654
g11578	26	111.09	0.234
g11579	23	23.7	0.9705
g11580	94	117.8	0.798
g11581	128	139.57	0.9171
g11582	33	30.79	1.0718
g11583	304	403.99	0.7525
g11584	35	39.54	0.8852
g11585	54	69.63	0.7755
g11586	13	17.7	0.7345
g11587	215	251.56	0.8547
g11588	198	299.56	0.661
g11589	38	111.84	0.3398
